tweet,polarity,subjectivity
"['if', 'your', 'a', 'black', 'athlete', '&', 'you', 'not', 'capable', 'of', 'speaking', 'intellectually', 'in', 'front', 'of', 'cameras', 'or', 'media', 'just', 'hit', 'dat', 'marshawn', 'lynch', '.']",0.011111111111111108,0.41111111111111115
"[':', 'marshawn', 'lynch', 'kicked', 'it', 'with', 'snoop', 'dogg', 'after', 'the', 'super', 'bowl', 'last', 'night', ':', 'we', 'know', 'what', 'they', 'did']",0.16666666666666666,0.36666666666666664
"['my', 'mama', 'is', 'a', 'marshawn', 'lynch', 'groupie', '!', '!', '!', 'jesus', 'fix', 'it']",0.0,0.0
"['make', 'it', 'happen']",0.0,0.0
"['marshawn', 'lynch', 'carried', 'the', 'ball', 'times', 'this', 'season', 'from', 'the', '-', 'yard', 'line.one', 'score', '.', 'over', 'the', 'past', 'years', ',', 'he', 'ranks', 'th', 'out', 'of', 'rbs', 'there']",-0.25,0.25
"['seahawks', 'marshawn', 'lynch', 'isnt', 'exactly', 'money', 'from', 'the', '-', 'yard', 'line', 'via']",0.25,0.25
"['seahawks', ""'"", 'marshawn', 'lynch', ""isn't"", 'exactly', 'money', 'from', 'the', '-', 'yard', 'line']",0.25,0.25
"['marshawn', 'lynch', 'hung', 'out', 'with', 'snoop', 'dogg', 'after', 'the', 'super', 'bowl']",0.3333333333333333,0.6666666666666666
"['just', 'taste', 'that', 'rainbow', 'sweetie']",0.0,0.0
"['i', 'love', 'richard', 'sherman', 'and', 'marshawn', 'lynch', 'so', 'much']",0.35,0.4
[],0.0,0.0
"['rt', ':', 'i', 'just', 'seen', 'some', 'hooker', 'post', 'marshawn', 'lynch', 'as', 'her', 'fuckin', ',', 'im', 'bout', 'to', 'delete', 'instagram']",0.0,0.0
"['""', ':', 'marshawn', 'lynch', 'and', 'snoop', 'dogg', 'kicked', 'it', 'after', 'the', 'super', 'bowl', 'last', 'night', ':', '""', 'needed', 'that', 'mid', '.']",0.1111111111111111,0.24444444444444444
"['marshawn', 'lynch', 'hung', 'out', 'with', 'snoop', 'dogg', 'after', 'the', 'super', 'bowl']",0.3333333333333333,0.6666666666666666
"['sitting', 'here', 'still', 'thinking', 'they', ""didn't"", 'give', 'this', 'dude', 'marshawn', 'lynch', 'the', 'ball']",0.0,0.0
"['today', 'is', 'the', 'perfect', 'day', 'for', 'marshawn', 'lynch', 'to', 'not', 'say', 'a', 'damn', 'word', '.']",1.0,1.0
"[""you're"", 'the', 'best']",1.0,0.3
"[':', 'marshawn', 'lynch', 'everyone']",0.0,0.0
"['pulling', 'the', 'marshawn', 'lynch', 'when', ""it's"", 'brick']",0.0,0.0
"['i', 'liked', 'a', 'video', 'marshawn', 'lynch', 'and', 'rob', 'gronkowski', 'play', '""', 'mortal', 'kombat', 'x', '""', 'with', 'conan', ""o'brien""]",0.6,0.8
"['seattle', 'seahawks', 'rb', 'marshawn', 'lynch', 'chills', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', 'xlix']",0.3333333333333333,0.6666666666666666
"['seattle', 'seahawks', 'rb', 'marshawn', 'lynch', 'chills', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', 'xlix']",0.3333333333333333,0.6666666666666666
